Name,RA,Dec,DM,Period,Frequency,Detection
J1629+4636 ,29:52.9,+46:36:52 ,35,0.314056,3.18414,Stack 
J1802+47 ,02:14.4,+47:16:00 ,30,0.346624,2.88488,Stack 
J1900+5106 ,00:00.9,+51:06:14 ,71,0.337759,2.96071,Stack 
J2002+4652 ,02:06.9,+46:52:43 ,141,0.24826,4.02678,Stack 
J2100+4711 ,00:13.4,+47:11:15 ,231,1.458743,0.6852,Stack 
J2108+5001 ,08:41.9,+50:01:42 ,482,0.244461,4.09065,Stack 
J2118+5143 ,18:30.3,+51:43:15 ,146,0.370223,2.70126,Stack 
J2151+5128 ,51:46.6,+51:28:49 ,203,1.051903,0.950664,Stack 
J2238+5015 ,38:16.5,+50:15:52 ,28,0.560097,1.78521,Stack 
J2302+4807 ,02:10.9,+48:07:26 ,72,0.741974,1.34752,Stack 
J2319+4919 ,19:14.8,+49:19:09 ,87,0.544065,1.83834,Stack 
J1805+46 ,05:34.3,+46:12:51 ,32,0.349866,2.85824,Single 
J0434+54 ,34:04.9,+54:42:45 ,127,1.142952,0.874927,Single 
J2117+74 ,17:54.2,+74:27:35 ,55,0.353017,2.832724,Single 
J2250+69 ,50:55.6,+69:23:33 ,57,0.245174,4.078743,Single 
J0101+64 ,02:20.1,+64:30:22 ,228,0.153651,6.508266,Single 
J2205+59 ,05:53.7,+59:44:30 ,298,0.634626,1.57573,Single 
J1037+39 ,37:16.8,+39:18:00 ,16,0.6571,1.52185,Single 
J0916+38 ,16:21.6,+38:30:00 ,23,0.14975,6.67766,Single 
J1306+39 ,06:28.1,+39:41:42 ,28,0.434761,2.300112,Stack 
J1432+30 ,32:48.4,+30:52:15 ,19,0.114018,8.770561,Stack 
J2101+38 ,01:17.3,+38:42:36 ,132,2.158444,0.463297,Stack 
J2219+59 ,19:38.0,+59:20:40 ,192,1.141283,0.876207,Single 
J2222+58 ,22:01.3,+58:33:26 ,266,0.456914,2.188597,Single  
J2212+57 ,12:09.3,+57:46:29 ,157,0.738903,1.353358,Stack 
J2333+58 ,33:10.5,+58:22:27 ,19,0.491292,2.035449,Stack 
J2144+56 ,44:14.1,+56:13:10 ,332,0.306966,3.257689,Stack 
J0408+56 ,08:35.9,+56:15:37 ,62,0.481383,2.077347,Stack 
J0101+58 ,01:57.6,+58:56:39 ,107,0.417663,2.394275,Stack 
J1321+50 ,21:58.0,+50:12:21 ,22,0.88962,1.124075,Stack 
J0952+50 ,52:03.1,+50:11:44 ,2.2,0.421872,2.370386,Stack 
J2220+64 ,20:39.2,+64:06:39 ,230,0.72565,1.37807,Single 
J0455+50 ,55:33.0,+50:50:18 ,11,0.03258,30.68963,Single 
J2002+64 ,02:31.0,+64:33:34 ,63,0.46943,2.130243,Single 
J1135+60 ,35:32.8,+60:21:28 ,11,0.68279,1.464579,Single 
J0211+65 ,11:55.2,+65:19:48 ,75,0.33506,2.98448,Single 
J0120+61 ,20:48.5,+61:07:42 ,75,0.458512,2.180968,Stack 
J0250+69 ,50:34.3,+69:49:56 ,4,1.144252,0.873933,Stack 
J0853+69 ,53:05.8,+69:10:26 ,34,0.562424,1.778017,Stack 
J1255+64 ,55:24.5,+64:19:59 ,39,1.990907,0.502284,Stack 
J1702+62 ,02:35.6,+62:38:56 ,50,1.875446,0.533206,Stack 
J1858+31 ,58:06.8,+31:09:24 ,108,0.304001,3.28946,Stack 
J1945+60 ,45:48.9,+60:11:15 ,70,1.16207,0.860534,Stack 
J2123+61 ,23:02.5,+61:20:07 ,177,1.068628,0.935779,Stack 
J2214+64 ,14:47.9,+64:06:43 ,193,0.423149,2.363231,Stack 
J2340+61 ,40:57.5,+61:18:34 ,183,0.16665,6.000604,Stack 
J0108+74 ,08:59.1,+74:51:58 ,50,1.118754,0.893851,Single 
J2256+76 ,56:20.7,+76:09:45 ,39,0.605402,1.651795,Single 
J1859+74 ,59:42.1,+74:31:09.41 ,42,0.403047,2.4811,Stack 
