PSRJ,P,logEdot,MJD,tobs,tnom,rmsI,SNRt,DM,DMerr,RM,RMerr,tau,tauerr,alpha,alphaerr,w10,w10err
J0034-0721,0.9430,31.3,58774.9,981,401,0.23,356,14.2,0.2,9.9,2.9,,,,,44.65,0.70
J0038-2501,0.2569,30.3,58823.8,602,,0.26,18,6.1,0.1,14.0,3.9,,,,,,
J0045-7042,0.6323,32.6,59026.1,1199,806,0.18,14,71.0,0.9,38.0,3.8,,,,,,
J0045-7319,0.9264,32.3,58624.1,514,,0.30,4,105.4,,,,,,,,,
J0108-1431,0.8076,30.8,58799.9,842,33,0.24,123,2.2,0.1,-0.3,2.9,,,,,27.1,4.2
J0111-7131,0.6885,32.9,59026.1,1200,,0.19,6,79.4,,0.0,16.4,,,,,,
J0113-7220,0.3259,33.7,58783.9,302,81,0.37,42,125.5,0.1,126.4,3.8,,,,,12.66,0.70
J0131-7310,0.3481,33.2,59026.1,1200,947,0.19,19,205.2,0.1,-52.3,5.6,,,,,,
J0133-6957,0.4635,31.7,58783.9,302,141,0.39,31,22.9,0.3,20.0,5.7,,,,,,
J0134-2937,0.1370,33.1,58774.9,152,8,0.58,219,21.8,0.1,13.0,2.9,,,,,18.63,0.35
J0137+1654,0.4148,30.8,58783.9,302,,0.38,6,26.1,,,,,,,,,
J0151-0635,1.4647,30.7,58952.4,1520,,0.17,205,25.5,0.1,-6.0,2.9,,,,,36.56,0.35
J0152-1637,0.8327,31.9,58952.4,872,,0.25,312,12.0,0.1,6.6,2.9,,,,,10.20,0.18
J0206-4028,0.6306,32.3,58799.9,666,,0.25,112,13.0,0.1,2.9,3.5,,,,,10.55,0.35
J0211-8159,3.2319,29.5,58952.4,1123,,0.26,463,25.8,0.1,29.1,2.9,,,,,14.41,0.18
J0255-5304,0.4477,31.1,58775.0,548,80,0.35,687,17.9,0.1,25.7,2.9,,,,,8.09,0.18
