PSRJ,freq,flux,errflux,LogLum,ch1freq,ch1flux,ch1errflux,ch2freq,ch2flux,ch2errflux,ch3freq,ch3flux,ch3errflux,ch4freq,ch4flux,ch4errflux,ch5freq,ch5flux,ch5errflux,ch6freq,ch6flux,ch6errflux,ch7freq,ch7flux,ch7errflux,ch8freq,ch8flux,ch8errflux,PLindex,PLindexErr,modindexSI
J0034-0721,1276,5.3101,0.0060,28.6,944,3.8804,0.0193,1041,3.2597,0.0160,1132,8.3034,0.0195,1229,4.5324,0.0262,1334,6.8746,0.0178,1429,6.3647,0.0184,1510,4.8491,0.0192,1634,3.3447,0.0178,-0.14,0.01,0.356
J0038-2501,1299,0.3444,0.0074,27.0,944,0.9859,0.0241,1037,0.4957,0.0245,1144,0.2551,0.0244,1233,0.1865,0.0228,1332,0.2845,0.0180,1429,0.2231,0.0187,1522,0.2156,0.0221,1625,0.2003,0.0212,-3.46,0.11,0.324
J0045-7042,1281,0.1050,0.0034,30.4,943,0.0928,0.0113,1041,0.1239,0.0093,1133,0.0738,0.0096,1232,0.1869,0.0108,1332,0.1040,0.0081,1429,0.0901,0.0083,1520,0.0977,0.0093,1627,0.0786,0.0090,-0.57,0.19,0.331
J0045-7319,1285,0.0680,0.0056,30.3,945,0.0749,0.0160,1041,0.1052,0.0148,,,,,,,1333,0.0789,0.0160,1429,0.0937,0.0137,1520,0.1577,0.0156,,,,1.03,0.34,0.222
J0108-1431,1294,1.2641,0.0074,26.6,945,1.7012,0.0215,1036,2.2763,0.0233,1141,1.9459,0.0239,1231,1.6054,0.0261,1332,0.8467,0.0184,1430,0.8761,0.0185,1517,0.6556,0.0214,1627,0.6290,0.0210,-2.11,0.04,0.268
J0111-7131,1281,0.0232,0.0014,29.8,943,0.0231,0.0038,1041,0.0246,0.0036,1132,0.0296,0.0038,1232,0.0337,0.0044,1332,0.0207,0.0038,,,,1519,0.0188,0.0038,1627,0.0274,0.0038,-0.06,0.30,0.136
J0113-7220,1276,0.2527,0.0082,30.8,944,0.4112,0.0272,1041,0.4026,0.0232,1133,0.3024,0.0249,1233,0.1757,0.0271,1332,0.2194,0.0216,1429,0.1732,0.0219,1519,0.1564,0.0257,1625,0.1540,0.0231,-2.13,0.19,0.100
J0131-7310,1285,0.0492,0.0013,30.1,943,0.0902,0.0042,1041,0.0680,0.0036,1133,0.0596,0.0036,1232,0.0450,0.0041,1332,0.0367,0.0031,1429,0.0351,0.0032,1521,0.0278,0.0037,1625,0.0350,0.0035,-2.12,0.14,0.049
J0133-6957,1276,0.1152,0.0113,27.7,944,0.7650,0.0351,,,,,,,,,,,,,,,,1518,0.1106,0.0320,,,,,,
J0134-2937,1292,3.0392,0.0115,31.1,944,4.5078,0.0405,1041,3.4812,0.0318,1134,3.7093,0.0320,1234,3.1378,0.0327,1332,3.1458,0.0268,1429,2.2055,0.0265,1522,2.6814,0.0325,1625,1.8754,0.0282,-1.28,0.02,0.099
J0137+1654,1274,0.0752,0.0041,27.7,944,0.1224,0.0125,1041,0.0824,0.0116,1132,0.0716,0.0116,1229,0.0790,0.0116,1333,0.0866,0.0116,1429,0.0578,0.0116,1519,0.0803,0.0116,,,,-0.93,0.29,0.099
J0151-0635,1274,1.2746,0.0039,30.8,943,1.8020,0.0118,1041,1.7861,0.0100,1132,0.5657,0.0111,1227,1.4375,0.0148,1335,0.5237,0.0097,1429,0.9871,0.0090,1518,1.3215,0.0110,1631,2.0599,0.0112,-0.07,0.01,0.439
J0152-1637,1280,1.1893,0.0071,27.9,944,0.6335,0.0193,1041,2.0316,0.0192,1133,1.7271,0.0189,1230,1.3439,0.0221,1334,0.7976,0.0163,1429,1.1559,0.0166,1520,0.7566,0.0178,1629,0.9091,0.0187,-1.68,0.03,0.480
J0206-4028,1280,0.4047,0.0078,27.7,944,0.2014,0.0230,1041,0.5613,0.0210,1133,0.8524,0.0221,1231,0.3786,0.0262,1333,0.2777,0.0195,1429,0.1627,0.0192,1521,0.3294,0.0220,1626,0.4773,0.0206,-1.16,0.10,0.588
J0211-8159,1279,6.1870,0.0078,29.0,944,3.2103,0.0197,1041,3.7614,0.0170,1133,2.1777,0.0173,1229,1.6348,0.0212,1334,4.1826,0.0160,1429,5.6174,0.0163,1520,16.0853,0.0251,1628,13.8191,0.0221,3.69,0.01,0.451
J0255-5304,1290,3.1519,0.0076,28.7,945,6.8878,0.0242,1041,4.4761,0.0192,1134,2.1088,0.0191,1231,1.6814,0.0206,1332,2.2535,0.0166,1429,2.7147,0.0171,1521,2.9710,0.0190,1626,2.7700,0.0181,-1.82,0.01,0.359
J0302+2252,1272,1.6228,0.0094,28.1,943,2.1830,0.0226,1041,2.3487,0.0194,1130,2.0247,0.0224,1232,0.7682,0.0317,1333,1.2238,0.0192,1429,1.6246,0.0198,1509,1.3181,0.0243,1633,0.8073,0.0215,-1.39,0.03,0.253
J0304+1932,1287,7.3623,0.0106,28.5,944,10.5601,0.0242,1041,13.6059,0.0240,1135,17.1861,0.0316,1228,2.3634,0.0223,1334,6.8203,0.0149,1429,2.8230,0.0137,1516,1.3020,0.0172,1628,2.2595,0.0159,-2.57,0.01,0.593
J0343-3000,1272,0.6330,0.0054,28.1,944,0.5001,0.0121,1041,0.4135,0.0110,1132,0.4516,0.0115,1227,1.9219,0.0242,1335,1.6231,0.0164,1429,0.3686,0.0098,1515,0.0983,0.0120,1632,0.1276,0.0117,2.32,0.06,1.432
J0401-7608,1287,4.9987,0.0072,28.6,945,5.0905,0.0240,1041,5.9617,0.0177,1135,18.6594,0.0270,1232,3.0523,0.0233,1332,4.3075,0.0164,1429,0.6839,0.0136,1521,0.4051,0.0162,1626,0.8856,0.0158,-0.99,0.01,1.080
J0418-4154,1287,0.0906,0.0069,27.6,943,0.0995,0.0209,1039,0.2845,0.0195,,,,1230,0.3850,0.0222,,,,1429,0.0731,0.0166,,,,1627,0.4675,0.0191,1.20,0.15,0.589
J0421-0345,1269,0.5839,0.0094,28.3,944,0.8272,0.0256,1041,0.7023,0.0238,1134,0.7135,0.0259,1228,0.8227,0.0338,1335,0.4090,0.0218,1429,0.4268,0.0212,1512,0.4968,0.0288,1633,0.3710,0.0251,-1.37,0.09,0.172
J0448-2749,1289,2.1253,0.0075,28.7,944,4.0300,0.0222,1041,1.8580,0.0175,1133,2.3161,0.0195,1232,1.5201,0.0217,1332,3.5097,0.0174,1429,1.9875,0.0167,1521,1.7166,0.0188,1626,0.2234,0.0175,-0.89,0.02,0.447
J0449-7031,1282,0.0639,0.0045,30.1,943,0.1387,0.0144,1041,0.0848,0.0127,,,,1233,0.1010,0.0142,1332,0.0423,0.0114,1429,0.0398,0.0113,1521,0.0886,0.0128,,,,-1.27,0.31,0.285
J0450-1248,1287,1.2330,0.0082,28.5,945,2.6701,0.0225,1038,1.6255,0.0242,1134,1.4963,0.0256,1232,0.7807,0.0273,1333,0.9520,0.0206,1429,0.8615,0.0198,1520,0.7481,0.0237,1626,0.6731,0.0220,-2.76,0.04,0.170
J0452-1759,1289,24.2566,0.0053,28.5,945,64.6150,0.0181,1041,46.5663,0.0139,1133,28.0496,0.0109,1230,26.9639,0.0133,1333,25.7439,0.0092,1429,3.1818,0.0086,1522,5.9021,0.0096,1628,0.5732,0.0094,-3.15,0.00,0.266
J0455-6951,1285,0.1719,0.0048,30.5,943,0.1646,0.0157,1041,0.1408,0.0131,1133,0.1423,0.0135,1233,0.2130,0.0152,1332,0.2305,0.0122,1429,0.1798,0.0121,1522,0.1289,0.0137,1625,0.1705,0.0130,0.20,0.17,0.192
J0457-6337,1289,0.1389,0.0044,27.3,,,,,,,1137,0.1645,0.0134,1230,0.9127,0.0183,1335,0.0713,0.0123,1429,0.0679,0.0123,1512,0.1999,0.0133,1635,0.1096,0.0123,-5.92,0.24,1.664
J0459-0210,1274,0.8639,0.0055,26.2,944,1.1805,0.0170,1041,1.0343,0.0149,1133,0.8382,0.0159,1230,1.0137,0.0201,1334,0.9670,0.0144,1429,0.6497,0.0143,1517,0.7213,0.0176,1628,0.4914,0.0164,-1.07,0.04,0.133
J0511-6508,1289,0.2234,0.0070,27.0,944,0.3412,0.0201,1039,0.2796,0.0202,1137,0.3726,0.0214,1232,0.1136,0.0218,1332,0.2484,0.0174,1429,0.1793,0.0168,1522,0.1072,0.0199,1625,0.1554,0.0199,-1.51,0.17,0.285
J0514-4407,1293,0.5462,0.0052,27.6,944,1.5332,0.0156,1039,1.2349,0.0147,1140,0.6036,0.0151,1233,0.2897,0.0154,1332,0.2269,0.0119,1429,0.2969,0.0124,1522,0.2112,0.0122,1626,0.1617,0.0123,-4.43,0.06,0.208
